5.0,12.0,2.0,10,9,1,90.0,383162226,8.20,1821.0
5.0,8.0,2.0,11,10,1,90.9,377065070,8.08,1821.0
5.0,8.0,4.0,6,5,1,83.3,330845590,7.21,1821.0
5.0,9.0,2.0,10,9,1,90.0,318731571,6.99,1821.0
6.0,12.0,2.0,10,9,1,90.0,372513116,6.83,1825.3
6.0,8.0,2.0,11,10,1,90.9,366415960,6.73,1825.3
6.0,8.0,4.0,6,5,1,83.3,320196480,6.01,1825.3
7.0,12.0,2.0,10,9,1,90.0,361864006,5.85,2087.3
6.0,9.0,2.0,10,9,1,90.0,308082461,5.82,1825.3
7.0,8.0,2.0,11,10,1,90.9,355766850,5.77,2087.3
6.0,12.0,3.0,6,5,1,83.3,304048426,5.76,1825.3
7.0,8.0,4.0,6,5,1,83.3,309547370,5.15,2087.3
7.0,9.0,2.0,10,9,1,90.0,297433351,4.99,2087.3
8.0,12.0,2.0,10,9,1,90.0,338658496,4.98,2369.3
7.0,12.0,3.0,6,5,1,83.3,293399316,4.94,2087.3
8.0,8.0,2.0,11,10,1,90.9,332561340,4.90,2369.3
8.0,9.0,2.0,10,9,1,90.0,274227841,4.22,2369.3
8.0,12.0,3.0,5,4,1,80.0,273792226,4.21,2545.4
7.0,8.0,5.0,5,4,1,80.0,208015305,3.79,2087.3
7.0,8.0,3.0,6,5,1,83.3,201151392,3.70,2087.3
5.0,7.0,2.0,16,13,3,81.2,394054147,3.53,1821.0
4.0,11.0,4.0,8,5,3,62.5,283441519,3.30,1622.7
4.0,12.0,2.0,12,9,3,75.0,311818404,3.22,1622.7
5.0,6.0,2.0,16,13,3,81.2,338512451,3.17,1821.0
8.0,8.0,3.0,5,4,1,80.0,181544302,3.13,2545.4
4.0,10.0,4.0,8,5,3,62.5,249193762,3.02,1622.7
4.0,12.0,3.0,8,5,3,62.5,248760090,2.74,1622.7
4.0,9.0,4.0,8,5,3,62.5,214946005,2.74,1622.7
5.0,11.0,2.0,13,10,3,76.9,262222125,2.68,1821.0
5.0,7.0,4.0,9,6,3,66.7,258852059,2.67,1821.0
5.0,7.0,5.0,9,6,3,66.7,244817830,2.58,1821.0
6.0,7.0,2.0,15,12,3,80.0,291670136,2.56,1825.3
5.0,10.0,2.0,13,10,3,76.9,238862275,2.53,1821.0
6.0,6.0,2.0,15,12,3,80.0,246302080,2.32,1825.3
4.0,11.0,5.0,9,5,4,55.6,216896695,2.31,1622.7
6.0,11.0,2.0,13,10,3,76.9,231053094,2.24,1825.3
6.0,7.0,4.0,9,6,3,66.7,227818470,2.22,1825.3
6.0,7.0,3.0,10,7,3,70.0,219883859,2.18,1825.3
7.0,7.0,2.0,14,11,3,78.6,255249114,2.17,2087.3
6.0,7.0,5.0,9,6,3,66.7,213784241,2.15,1825.3
6.0,10.0,2.0,13,10,3,76.9,207693244,2.11,1825.3
4.0,10.0,5.0,9,5,4,55.6,182804530,2.10,1622.7
5.0,12.0,3.0,8,5,3,62.5,188452967,2.06,1821.0
4.0,7.0,3.0,13,8,5,61.5,226041574,2.01,1622.7
7.0,6.0,2.0,14,11,3,78.6,209881058,1.96,2087.3
4.0,9.0,5.0,9,5,4,55.6,148712365,1.90,1622.7
7.0,7.0,4.0,9,6,3,66.7,195605150,1.90,2087.3
7.0,11.0,2.0,12,9,3,75.0,194632072,1.89,2087.3
6.0,6.0,3.0,10,7,3,70.0,163726671,1.88,1825.3
7.0,7.0,3.0,10,7,3,70.0,187670539,1.86,2087.3
4.0,6.0,3.0,13,8,5,61.5,191639325,1.86,1622.7
6.0,11.0,3.0,8,5,3,62.5,158678571,1.85,1825.3
8.0,7.0,2.0,14,11,3,78.6,211490592,1.85,2369.3
7.0,7.0,5.0,9,6,3,66.7,181570921,1.83,2087.3
6.0,11.0,5.0,4,2,2,50.0,114170040,1.82,1825.3
5.0,8.0,5.0,7,4,3,57.1,125483260,1.80,1821.0
7.0,10.0,2.0,12,9,3,75.0,171272222,1.78,2087.3
4.0,11.0,3.0,11,6,5,54.5,164755446,1.74,1622.7
6.0,10.0,3.0,8,5,3,62.5,135616590,1.73,1825.3
5.0,11.0,5.0,7,3,4,42.9,155712790,1.72,1821.0
4.0,7.0,2.0,19,12,7,63.2,215388046,1.71,1622.7
8.0,6.0,2.0,14,11,3,78.6,166122536,1.67,2369.3
8.0,7.0,4.0,9,6,3,66.7,165281976,1.66,2545.4
4.0,10.0,3.0,11,6,5,54.5,141713675,1.63,1622.7
8.0,7.0,5.0,9,6,3,66.7,151247747,1.61,2545.4
6.0,9.0,3.0,8,5,3,62.5,112554609,1.60,1825.3
8.0,11.0,2.0,12,9,3,75.0,150873550,1.60,2369.3
7.0,6.0,3.0,10,7,3,70.0,131513351,1.60,2087.3
8.0,7.0,3.0,9,6,3,66.7,147434039,1.59,2545.4
7.0,11.0,3.0,8,5,3,62.5,126465251,1.58,2087.3
4.0,6.0,2.0,19,12,7,63.2,171276234,1.56,1622.7
5.0,10.0,5.0,7,3,4,42.9,121767970,1.56,1821.0
7.0,11.0,5.0,4,2,2,50.0,90646801,1.56,2087.3
5.0,6.0,4.0,9,5,4,55.6,119056458,1.55,1821.0
5.0,6.0,5.0,9,5,4,55.6,119056458,1.55,1821.0
